,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Temperature (F),Wind Speed (mph)
0,Ribeira Grande,PT,1578326932,38.52,-28.7,40,93,64.4,13.87
1,Punta Arenas,CL,1578326803,-53.16,-70.91,75,71,57.0,20.8
2,Puerto Ayora,EC,1578326938,-0.74,-90.35,40,65,82.4,12.75
3,Kapaa,US,1578326939,22.08,-159.32,75,83,75.2,19.46
4,Skibbereen,IE,1578326940,51.55,-9.27,40,81,46.4,11.41
5,Rikitea,PF,1578326815,-23.12,-134.97,69,74,75.67,13.87
6,Mataura,NZ,1578326815,-46.19,168.86,88,94,48.99,8.01
7,Itoman,JP,1578326945,26.12,127.67,40,68,68.0,3.36
8,Poum,MK,1578326946,41.28,20.71,40,42,30.2,12.75
9,Poros,TR,1578326947,40.9,26.22,75,52,41.0,36.91
10,Santa Catalina,UY,1578326949,-33.79,-57.49,100,47,77.0,4.0
11,Ancud,CL,1578326950,-41.87,-73.83,75,76,55.4,8.05
12,Mnogovershinnyy,RU,1578326951,53.94,139.92,100,68,8.44,5.99
13,Port Blair,IN,1578326952,11.67,92.75,0,80,81.1,18.68
14,Chaska,US,1578326954,44.79,-93.6,40,73,28.99,3.36
15,Mudanjiang,CN,1578326955,44.58,129.6,100,92,10.65,1.07
16,Albany,US,1578326956,42.65,-73.75,90,74,33.8,9.17
17,Georgetown,GY,1578326958,6.8,-58.16,40,66,84.2,9.17
18,Longyearbyen,NO,1578326959,78.22,15.63,20,51,10.4,16.11
19,Maniitsoq,GL,1578326960,65.42,-52.9,100,92,-2.13,16.22
20,Hermanus,ZA,1578326902,-34.42,19.24,100,67,69.01,1.01
21,Abha,SA,1578326900,18.22,42.5,20,77,62.6,11.41
22,Coquimbo,CL,1578326964,-29.95,-71.34,0,64,69.8,11.41
23,Sao Filipe,CV,1578326965,14.9,-24.5,31,57,73.22,24.11
24,Hithadhoo,MV,1578326850,-0.6,73.08,100,73,83.59,10.4
25,Pandan,PH,1578326967,11.72,122.09,11,82,79.7,22.17
26,Avarua,CK,1578326969,-21.21,-159.78,29,94,77.0,1.12
27,Kalmunai,LK,1578326970,7.42,81.82,46,78,82.2,15.32
28,Hasaki,JP,1578326971,35.73,140.83,75,60,41.0,9.17
29,Cape Town,ZA,1578326973,-33.93,18.42,100,56,71.01,24.16
30,Lexington Park,US,1578326974,38.26,-76.45,20,53,51.01,6.93
31,Port Lincoln,AU,1578326975,-34.72,135.86,0,69,62.8,13.24
32,Ilulissat,GL,1578326977,69.22,-51.1,75,70,-0.4,6.93
33,Ca Mau,VN,1578326720,9.18,105.15,89,71,78.73,2.82
34,Saskylakh,RU,1578326979,71.97,114.09,100,96,-5.08,7.05
35,Margate,AU,1578326980,-43.03,147.26,100,82,59.0,5.82
36,Hobart,AU,1578326822,-42.88,147.33,100,82,59.0,5.82
37,Dingle,PH,1578326983,11.0,122.67,96,94,73.74,11.36
38,Grand Gaube,MU,1578326811,-20.01,57.66,40,83,82.4,2.24
