,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Tempurature (F),Wind Speed (mph)
0,Barrow,AR,1578078036,-38.31,-60.23,0,24,87.53,11.86
1,Portel,BR,1578078037,-1.94,-50.82,72,82,84.42,1.81
2,Arman,RU,1578078039,59.7,150.17,100,72,23.38,29.84
3,Faanui,PF,1578078040,-16.48,-151.75,88,79,81.34,14.94
4,Thompson,CA,1578077783,55.74,-97.86,90,85,14.0,5.82
5,Ancud,CL,1578078042,-41.87,-73.83,75,64,71.6,16.11
6,Hobart,AU,1578078044,-42.88,147.33,98,59,66.0,11.41
7,Sibolga,ID,1578078045,1.74,98.78,97,96,71.26,2.8
8,Acapulco,MX,1578078046,16.86,-99.88,75,52,87.8,4.7
9,Kodiak,US,1578078047,39.95,-94.76,1,70,46.99,13.87
10,Carnarvon,ZA,1578078048,-30.97,22.13,0,16,81.79,9.86
11,Hermanus,ZA,1578078049,-34.42,19.24,0,76,69.01,10.09
12,Puerto Ayora,EC,1578078050,-0.74,-90.35,75,65,82.4,20.8
13,Noumea,NC,1578078051,-22.28,166.46,4,77,78.01,1.12
14,Grindavik,IS,1578078053,63.84,-22.43,83,62,21.2,12.75
15,Albany,US,1578078007,42.65,-73.75,90,79,46.99,3.58
16,Nikolskoye,RU,1578078055,59.7,30.79,90,86,41.0,13.42
17,Marsh Harbour,BS,1578078056,26.54,-77.06,82,77,76.3,15.01
18,Prince Rupert,CA,1578078057,54.32,-130.32,90,93,37.4,11.41
19,Pisco,PE,1578078058,-13.71,-76.2,20,30,73.0,16.11
20,New Norfolk,AU,1578078059,-42.78,147.06,99,59,66.0,11.41
21,Busselton,AU,1578078060,-33.64,115.35,0,48,46.0,11.3
22,Aklavik,CA,1578078061,68.22,-135.01,90,68,-13.0,3.36
23,Srednekolymsk,RU,1578078063,67.46,153.71,2,77,-3.05,2.95
24,Lebu,ET,1578078064,8.96,38.73,75,62,59.0,4.7
25,Bluff,AU,1578078065,-23.58,149.07,12,84,68.32,9.22
26,Mataura,NZ,1578078054,-46.19,168.86,66,80,46.99,15.01
27,Burnie,AU,1578078067,-41.05,145.91,96,82,62.01,7.0
28,Ipixuna,BR,1578078068,-1.76,-48.8,75,94,78.8,3.36
29,Kapaa,US,1578078069,22.08,-159.32,90,73,75.2,21.92
30,Ganzhou,CN,1578078070,25.86,114.93,92,81,51.55,4.41
31,Pevek,RU,1578078072,69.7,170.27,81,62,-1.64,8.46
32,Port Blair,IN,1578078073,11.67,92.75,0,75,81.75,8.79
33,Atuona,PF,1578078074,-9.8,-139.03,0,71,80.56,13.56
34,Gat,SN,1578078075,14.69,-16.54,100,13,86.0,10.29
35,Santa Cruz,BR,1578078076,-6.22,-36.02,8,37,93.42,10.63
36,Rikitea,PF,1578078077,-23.12,-134.97,100,80,78.39,8.79
37,San Patricio,PY,1578078078,-26.98,-56.83,0,32,91.58,8.7
38,Kjollefjord,NO,1578078079,70.95,27.35,40,82,32.0,11.41
39,Ushuaia,AR,1578078080,-54.81,-68.31,75,49,57.2,6.93
40,Vostok,RU,1578078082,46.45,135.83,56,97,-15.68,5.21
41,Pudozh,RU,1578078083,61.81,36.54,100,87,36.61,16.6
42,Petrozavodsk,RU,1578078084,61.79,34.39,99,93,37.4,17.9
43,East London,ZA,1578078085,-33.02,27.91,90,100,71.6,11.41
44,Melito di Porto Salvo,IT,1578078086,37.92,15.77,20,62,57.0,11.41
45,Mtimbira,TZ,1578078087,-8.78,36.35,93,96,71.49,2.75
46,Porlamar,VE,1578078089,10.96,-63.85,51,57,84.78,12.17
47,Ndjole,GA,1578078090,-0.18,10.76,57,93,75.81,4.9
48,Waipawa,NZ,1578078091,-39.94,176.59,0,79,55.0,1.99
49,Ulundi,ZA,1578078092,-28.29,31.43,64,89,67.23,7.63
50,Verkhniy baskunchak,KZ,1578078093,48.23,46.72,62,83,29.16,7.63
51,Castro,CL,1578078094,-42.48,-73.76,75,64,71.6,16.11
52,Bredasdorp,ZA,1578078095,-34.53,20.04,20,68,69.8,5.82
53,Bambous Virieux,MU,1578078096,-20.34,57.76,40,88,78.8,18.1
54,San Cristobal,HN,1578078097,14.68,-86.92,56,43,83.08,4.14
55,Saskylakh,RU,1578078099,71.97,114.09,44,94,-20.76,7.14
56,Badalona,ES,1578078100,41.45,2.25,100,87,52.0,1.12
57,Qaanaaq,GL,1578078101,77.48,-69.36,100,91,-37.8,7.23
58,Klaksvik,FO,1578078102,62.23,-6.59,71,60,32.0,31.09
59,Okhotsk,RU,1578078103,59.36,143.24,73,76,8.58,19.06
60,Shenjiamen,CN,1578078104,29.96,122.3,100,92,53.11,13.04
61,Sassandra,CI,1578078105,4.95,-6.09,53,49,78.98,5.84
62,Nemuro,JP,1578078106,43.32,145.57,81,59,22.32,24.45
63,Punta Arenas,CL,1578078108,-53.16,-70.91,32,44,57.2,12.75
64,Georgetown,GY,1578078109,6.8,-58.16,20,70,84.2,9.17
65,Vaini,IN,1578078110,15.34,74.49,15,81,62.82,2.46
66,Morwell,AU,1578078111,-38.24,146.4,0,97,57.99,4.36
67,Te Anau,NZ,1578078112,-45.41,167.72,77,75,40.51,5.66
68,Port Alfred,ZA,1578078113,-33.59,26.89,100,97,68.0,1.99
69,Souillac,FR,1578078114,45.6,-0.6,75,93,51.01,5.82
70,Road Town,VG,1578078116,18.42,-64.62,40,69,82.4,8.05
71,Puerto Colombia,CO,1578078117,10.99,-74.96,20,55,89.6,9.17
72,Jamestown,AU,1578078118,-33.21,138.6,0,68,65.71,21.03
73,Zwedru,LR,1578078119,6.07,-8.13,16,25,83.97,0.78
74,Hilo,US,1578078120,19.71,-155.08,1,64,72.0,6.93
75,Panaba,MX,1578078121,21.28,-88.27,0,51,88.3,11.59
76,Miraflores,PE,1578077997,-16.39,-71.52,75,82,60.8,9.17
77,Preobrazheniye,RU,1578078123,42.9,133.91,20,75,9.27,6.31
78,Saint-Philippe,CA,1578078125,45.36,-73.48,90,80,42.01,11.41
79,Butaritari,KI,1578078126,3.07,172.79,100,80,82.8,12.28
80,Fortuna,US,1578078127,40.6,-124.16,1,76,52.0,9.17
81,Marsa Matruh,EG,1578078128,31.35,27.25,40,81,51.8,10.29
82,Cape Town,ZA,1578078052,-33.93,18.42,20,77,69.01,18.34
83,Hamilton,CA,1578077939,43.26,-79.87,90,87,46.99,6.93
84,Mount Isa,AU,1578078131,-20.73,139.49,0,54,80.6,5.82
85,Tuktoyaktuk,CA,1578078133,69.44,-133.03,75,75,-18.4,13.87
86,Cherskiy,RU,1578078134,68.75,161.3,9,65,1.36,11.05
87,Tuatapere,NZ,1578078135,-46.13,167.69,81,80,46.99,15.01
88,Inongo,CD,1578078136,-1.93,18.29,66,49,75.15,1.48
89,Nabire,ID,1578078137,-3.36,135.5,99,99,72.82,1.36
90,Lompoc,US,1578078005,34.64,-120.46,1,62,69.01,11.54
91,Khatanga,RU,1578078139,71.98,102.47,100,98,-4.09,6.87
